TransactionId;MerchantCnpj;CheckoutCode;CipheredCardNumber;AmountInCent;Installments;AcquirerName;PaymentMethod;CardBrandName;Status;StatusInfo;CreatedAt;AcquirerAuthorizationDateTime
75;25403113000169;38300;************1793;3979;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:18:15.000;2018-03-01 00:18:16.000
76;00250435000194;42490;************3638;2000;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:17:57.000;2018-03-01 00:22:57.000
77;17872744000107;47128;************532;2739;1;Stone;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:17:56.000;2018-03-01 00:18:20.000
78;26837175000141;40765;************3379;2448;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:17:10.000;2018-03-01 00:17:12.000
79;24995329000106;45194;************6278;2800;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:16:18.000;2018-03-01 00:17:02.000
80;10267408000188;23690;************7094;900;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:16:59.000;2018-03-01 00:17:01.000
81;24110320000162;31218;************2010;2700;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:17:22.000;2018-03-01 00:17:24.000
82;17872744000107;47128;************5711;869;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:16:38.000;2018-03-01 00:17:02.000
83;53154225007686;44503;************3010;1890;1;Redecard;Voucher;Sodexo Refeicao;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:16:25.000;2018-03-01 00:16:27.000
84;26837175000141;40765;************7930;1899;1;Redecard;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:16:37.000;2018-03-01 00:16:39.000
85;26837175000141;40765;************2503;3798;1;Cielo;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:15:54.000;2018-03-01 00:16:00.000
86;28176030000172;34242;************4014;380;1;Redecard;Voucher;Sodexo Refeicao;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:14:57.000;2018-03-01 00:14:58.000
87;53154225007686;44503;************2019;1890;1;Redecard;Voucher;Sodexo Refeicao;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:15:02.000;2018-03-01 00:15:03.000
88;07485962000127;40812;************683;3600;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:14:26.000;2018-03-01 00:15:09.000
89;06222367000136;46850;************2615;10800;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:15:00.000;2018-03-01 00:15:44.000
90;53154225007686;44503;************13;1890;1;Redecard;Voucher;Sodexo Refeicao;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:14:00.000;2018-03-01 00:14:02.000
91;24110320000162;31218;************7772;1000;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:14:36.000;2018-03-01 00:14:38.000
92;15593743000947;39974;************8844;1350;1;Getnet;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:12:15.000;2018-03-01 00:12:55.000
93;30481457000126;39206;************251;4400;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:11:40.000;2018-03-01 00:11:42.000
94;21977101000197;25628;************2139;2100;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:09:43.000;2018-03-01 00:09:43.000
95;25914235000110;38166;************1548;960;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:10:17.000;2018-03-01 00:10:18.000
96;15593743000190;6555;************9106;2000;1;Cielo;Débito à Vista;Elo Debito;Recusada;CartÃ£o vencido - O cartÃ£o estÃ¡ com a data de validade vencida.;2018-03-01 03:08:21.000;2018-03-01 00:09:04.000
97;30481457000126;39206;************9202;2900;1;Redecard;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:09:13.000;2018-03-01 00:09:15.000
98;09429293000100;38686;************9011;1000;1;Cielo;Crédito à Vista;Credz;Recusada;TransaÃ§Ã£o Negada - nÃ£o aceita pela Rede Autorizadora.;2018-03-01 03:09:23.000;2018-03-01 00:09:25.000
99;13705903000110;39601;************4840;5800;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:08:20.000;2018-03-01 00:08:22.000
100;17694732000121;40949;************1768;5501;1;Getnet;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:07:13.000;2018-03-01 00:07:57.000
101;15593743000190;6555;************9106;2000;1;Cielo;Débito à Vista;Elo Debito;Recusada;CartÃ£o vencido - O cartÃ£o estÃ¡ com a data de validade vencida.;2018-03-01 03:07:53.000;2018-03-01 00:08:37.000
102;15593743000351;31700;************1012;3100;1;Getnet;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:08:21.000;2018-02-28 23:08:19.000
103;77888881000153;44589;************4060;9914;1;Cielo;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:07:01.000;2018-03-01 00:07:04.000
104;30481457000126;39206;************1758;2399;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:07:11.000;2018-03-01 00:07:13.000
105;77888881000153;44589;************6552;10000;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:06:29.000;2018-03-01 00:06:31.000
106;78728359000177;264;************1319;3700;1;Cielo;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:06:24.000;2018-03-01 00:06:26.000
